time,1075,1076,1077,1125,1126,1127,1128,1129,1130,1131,1132,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1221,1222,1223,1224,1225,1227,1228,1229,1230,1231,1232,1233,1234,1235,1272,1273,1274,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1326,1327,1331,1332,1333,1334,1335,1336,1337,1338,1339,1376,1377,1378,1380,1382,1383,1384,1385,1386,1387,1388,1389,1390,1426,1431,1434,1435,1436,1437,1438,1439,1441,1442,1480,1482,1483,1530,1532,1533,1580,1630,1684,1733,1734,1783,2068,2069,2118,2119,2168
2016-04-01 00:00:00,46.0,55.0,31.0,67.0,171.0,300.0,521.0,603.0,716.0,161.0,10.0,9.0,18.0,23.0,9.0,36.0,611.0,804.0,512.0,634.0,448.0,379.0,105.0,4.0,6.0,6.0,19.0,38.0,2.0,387.0,608.0,549.0,862.0,709.0,1045.0,447.0,153.0,62.0,12.0,27.0,13.0,15.0,18.0,114.0,510.0,802.0,122.0,21.0,112.0,118.0,57.0,63.0,51.0,18.0,238.0,160.0,86.0,50.0,15.0,51.0,48.0,16.0,39.0,16.0,8.0,9.0,14.0,70.0,217.0,48.0,24.0,30.0,20.0,15.0,14.0,15.0,12.0,1.0,4.0,31.0,26.0,10.0,4.0,6.0,11.0,6.0,14.0,7.0,9.0,11.0,18.0,2.0,4.0,0.0,2.0,158.0,50.0,104.0,14.0,175.0,53.0,96.0
2016-04-01 01:00:00,25.0,44.0,16.0,46.0,90.0,228.0,325.0,436.0,598.0,121.0,3.0,6.0,20.0,20.0,6.0,24.0,500.0,468.0,302.0,300.0,213.0,278.0,140.0,1.0,6.0,9.0,13.0,19.0,4.0,308.0,414.0,359.0,518.0,463.0,616.0,221.0,91.0,25.0,10.0,14.0,10.0,13.0,5.0,74.0,285.0,474.0,40.0,7.0,70.0,86.0,33.0,49.0,47.0,9.0,237.0,81.0,55.0,13.0,15.0,60.0,20.0,8.0,44.0,22.0,10.0,11.0,6.0,41.0,126.0,39.0,20.0,18.0,16.0,12.0,17.0,8.0,17.0,1.0,8.0,23.0,20.0,9.0,4.0,4.0,3.0,8.0,10.0,5.0,8.0,7.0,11.0,4.0,8.0,0.0,4.0,3.0,16.0,67.0,14.0,165.0,13.0,68.0
2016-04-01 02:00:00,12.0,23.0,13.0,20.0,58.0,146.0,177.0,299.0,557.0,55.0,1.0,3.0,10.0,9.0,2.0,30.0,300.0,291.0,187.0,190.0,161.0,217.0,162.0,0.0,2.0,9.0,14.0,18.0,0.0,254.0,294.0,239.0,290.0,296.0,347.0,120.0,39.0,14.0,6.0,6.0,9.0,3.0,2.0,43.0,163.0,331.0,16.0,2.0,36.0,52.0,22.0,20.0,29.0,10.0,87.0,57.0,19.0,5.0,9.0,31.0,17.0,3.0,36.0,18.0,10.0,8.0,4.0,13.0,66.0,29.0,6.0,17.0,15.0,13.0,10.0,9.0,8.0,0.0,3.0,15.0,18.0,6.0,7.0,0.0,3.0,7.0,9.0,7.0,8.0,16.0,13.0,2.0,9.0,0.0,0.0,0.0,1.0,18.0,2.0,26.0,0.0,7.0
2016-04-01 03:00:00,8.0,9.0,4.0,20.0,32.0,141.0,70.0,164.0,498.0,52.0,1.0,0.0,3.0,3.0,0.0,20.0,241.0,162.0,115.0,131.0,88.0,153.0,86.0,2.0,1.0,6.0,7.0,6.0,1.0,187.0,209.0,143.0,169.0,202.0,283.0,107.0,24.0,17.0,5.0,6.0,2.0,3.0,3.0,22.0,118.0,238.0,7.0,3.0,31.0,30.0,13.0,22.0,29.0,0.0,97.0,33.0,27.0,1.0,3.0,34.0,8.0,6.0,32.0,13.0,7.0,0.0,3.0,27.0,54.0,11.0,13.0,15.0,10.0,12.0,4.0,8.0,6.0,1.0,3.0,9.0,16.0,3.0,6.0,2.0,6.0,5.0,5.0,6.0,6.0,12.0,12.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
2016-04-01 04:00:00,9.0,13.0,4.0,16.0,33.0,115.0,55.0,129.0,239.0,21.0,0.0,0.0,7.0,2.0,0.0,13.0,137.0,102.0,85.0,102.0,120.0,136.0,32.0,0.0,1.0,2.0,7.0,7.0,1.0,91.0,148.0,133.0,143.0,159.0,268.0,90.0,27.0,14.0,1.0,0.0,1.0,6.0,4.0,25.0,111.0,139.0,10.0,4.0,34.0,28.0,18.0,15.0,8.0,3.0,94.0,55.0,27.0,4.0,12.0,20.0,12.0,2.0,20.0,3.0,4.0,3.0,3.0,24.0,80.0,26.0,10.0,10.0,11.0,7.0,9.0,4.0,10.0,0.0,5.0,20.0,11.0,10.0,10.0,4.0,3.0,13.0,28.0,11.0,15.0,14.0,10.0,6.0,8.0,1.0,3.0,3.0,2.0,1.0,0.0,10.0,0.0,1.0
2016-04-01 05:00:00,7.0,28.0,13.0,19.0,63.0,67.0,59.0,94.0,75.0,14.0,4.0,1.0,8.0,8.0,6.0,5.0,61.0,72.0,130.0,122.0,287.0,239.0,28.0,9.0,1.0,2.0,6.0,10.0,0.0,45.0,83.0,118.0,161.0,170.0,177.0,96.0,84.0,30.0,1.0,4.0,0.0,14.0,12.0,41.0,165.0,127.0,25.0,38.0,69.0,69.0,24.0,4.0,3.0,10.0,72.0,108.0,50.0,14.0,19.0,28.0,14.0,5.0,3.0,2.0,2.0,2.0,5.0,74.0,156.0,72.0,27.0,22.0,10.0,6.0,8.0,4.0,20.0,3.0,5.0,16.0,19.0,9.0,8.0,3.0,6.0,11.0,12.0,14.0,18.0,7.0,6.0,7.0,5.0,3.0,0.0,3.0,4.0,17.0,4.0,52.0,2.0,48.0
2016-04-01 06:00:00,16.0,76.0,48.0,42.0,115.0,130.0,116.0,198.0,108.0,63.0,12.0,7.0,36.0,46.0,16.0,7.0,59.0,160.0,278.0,290.0,1017.0,483.0,69.0,24.0,2.0,5.0,18.0,24.0,4.0,57.0,221.0,396.0,382.0,322.0,298.0,243.0,208.0,91.0,9.0,7.0,5.0,18.0,44.0,119.0,359.0,258.0,58.0,45.0,161.0,170.0,68.0,9.0,6.0,29.0,226.0,325.0,224.0,39.0,47.0,62.0,26.0,9.0,6.0,1.0,1.0,3.0,3.0,229.0,413.0,223.0,39.0,38.0,23.0,19.0,18.0,4.0,19.0,3.0,9.0,43.0,39.0,19.0,8.0,11.0,12.0,22.0,17.0,24.0,23.0,13.0,14.0,21.0,6.0,3.0,3.0,6.0,15.0,60.0,7.0,173.0,4.0,73.0
2016-04-01 07:00:00,43.0,154.0,146.0,77.0,150.0,229.0,199.0,346.0,202.0,119.0,33.0,12.0,52.0,57.0,36.0,12.0,129.0,254.0,457.0,503.0,1098.0,825.0,138.0,39.0,3.0,13.0,24.0,41.0,12.0,120.0,295.0,571.0,804.0,478.0,462.0,456.0,411.0,196.0,8.0,11.0,8.0,21.0,62.0,309.0,711.0,432.0,132.0,89.0,309.0,311.0,126.0,7.0,11.0,88.0,515.0,710.0,431.0,107.0,93.0,136.0,56.0,28.0,1.0,1.0,1.0,8.0,12.0,496.0,818.0,425.0,76.0,71.0,44.0,34.0,42.0,3.0,15.0,20.0,15.0,61.0,70.0,31.0,26.0,17.0,19.0,24.0,21.0,41.0,44.0,10.0,19.0,19.0,4.0,7.0,8.0,64.0,83.0,71.0,13.0,93.0,21.0,63.0
2016-04-01 08:00:00,70.0,217.0,200.0,103.0,237.0,284.0,290.0,450.0,319.0,183.0,46.0,14.0,73.0,60.0,20.0,23.0,127.0,332.0,614.0,641.0,1000.0,638.0,202.0,29.0,5.0,7.0,21.0,48.0,16.0,118.0,303.0,651.0,1059.0,738.0,657.0,672.0,511.0,223.0,11.0,9.0,6.0,20.0,66.0,363.0,1042.0,719.0,191.0,142.0,385.0,373.0,157.0,10.0,8.0,143.0,697.0,993.0,684.0,148.0,129.0,151.0,69.0,17.0,2.0,3.0,6.0,2.0,27.0,616.0,838.0,497.0,58.0,77.0,32.0,32.0,41.0,0.0,28.0,16.0,19.0,71.0,64.0,34.0,17.0,15.0,12.0,32.0,20.0,38.0,44.0,2.0,13.0,6.0,9.0,9.0,9.0,148.0,157.0,26.0,6.0,142.0,14.0,89.0
2016-04-01 09:00:00,59.0,205.0,145.0,81.0,224.0,301.0,294.0,473.0,384.0,161.0,59.0,11.0,34.0,33.0,2.0,27.0,165.0,359.0,654.0,658.0,940.0,533.0,228.0,22.0,7.0,10.0,14.0,31.0,5.0,136.0,327.0,651.0,919.0,869.0,772.0,634.0,462.0,222.0,5.0,7.0,14.0,18.0,40.0,325.0,917.0,837.0,239.0,116.0,351.0,310.0,119.0,9.0,7.0,111.0,561.0,844.0,641.0,118.0,101.0,110.0,50.0,11.0,2.0,0.0,1.0,3.0,22.0,497.0,766.0,381.0,50.0,27.0,26.0,13.0,16.0,1.0,20.0,12.0,7.0,29.0,37.0,15.0,3.0,11.0,11.0,23.0,21.0,28.0,17.0,3.0,7.0,6.0,1.0,12.0,5.0,215.0,191.0,48.0,4.0,52.0,6.0,91.0
2016-04-01 10:00:00,72.0,166.0,108.0,55.0,217.0,288.0,281.0,338.0,313.0,110.0,56.0,6.0,9.0,13.0,5.0,21.0,140.0,336.0,526.0,583.0,798.0,423.0,158.0,27.0,3.0,5.0,11.0,19.0,3.0,119.0,274.0,477.0,767.0,824.0,754.0,606.0,459.0,224.0,1.0,1.0,2.0,25.0,66.0,239.0,800.0,999.0,292.0,119.0,346.0,299.0,98.0,9.0,3.0,94.0,455.0,639.0,562.0,141.0,81.0,90.0,55.0,11.0,3.0,1.0,2.0,7.0,38.0,416.0,529.0,316.0,44.0,23.0,9.0,11.0,12.0,1.0,20.0,17.0,11.0,19.0,22.0,6.0,3.0,4.0,9.0,11.0,8.0,21.0,11.0,1.0,7.0,5.0,1.0,16.0,3.0,212.0,241.0,60.0,5.0,77.0,33.0,57.0
